checkpoint: myModel_recall_recall_p96_flatten_a0.7_spike_heterogeneous_sparse_eta0_k3_seed7
eta = 0.0, alpha = 0.7, tau = [4.0, 8.0, 16.0, 32.0], G11 bound = 305.0375175476074
b_0 = 1.1005, B(T-1) = 13.9615
[gate] local recurrence vs model at m == 1: max |diff| = 0.000e+00  OK

=== permutation-null thresholds (TRAIN split, label-free) ===
   axis     stat        n     q0.9    q0.95    q0.99
   unit  pearson  6641632   0.9910   0.9970   0.9996
   unit   cosine  6641632   0.9869   0.9953   0.9993
 shared  pearson   207551   0.9034   0.9535   0.9867
 shared   cosine   207551   0.9060   0.9549   0.9872
  input  pearson   207551   1.0000   1.0000   1.0000
  input   cosine   207551   1.0000   1.0000   1.0000

=== what the similarity points at (validation, eta=0 trajectory, per query) ===
   axis     stat  argmax = prev slot  best answer rank   chance
   unit  pearson              0.2958            0.2788   0.2120
   unit   cosine              0.3470            0.3108   0.2120
 shared  pearson              0.4763            0.1785   0.2120
 shared   cosine              0.4788            0.1792   0.2120
  input  pearson              0.0950            0.1956   0.2120
  input   cosine              0.0950            0.1956   0.2120
rank: 0 = most similar of the n past slots, normalised by n-1; chance = (n-m)/((m+1)(n-1)).

validation: 256 sequences, 4 batches, random control = 32 draws

=== frozen ===
setting    axis     stat      rule   M_eff  random  oracle  kept%  kept  empty% ans.kept any-hit    rand  max|u|  G11
 frozen   input   cosine    top50%  0.2661  0.1348  1.0000   50.0 12.88    0.00   0.9882  0.9993  0.9008   22.85   OK

=== closed ===
setting    axis     stat      rule   M_eff  random  oracle  kept%  kept  empty% ans.kept any-hit    rand  max|u|  G11
 closed    unit  pearson  null0.90  0.1643  0.1043  1.0000   10.0  2.51   24.22   0.1602  0.3673  0.2862   23.20   OK
 closed    unit  pearson  null0.95  0.1542  0.0912  1.0000    6.7  1.71   34.40   0.1114  0.3057  0.2072   20.27   OK
 closed    unit  pearson  null0.99  0.1110  0.0633  1.0000    3.1  0.80   54.84   0.0518  0.1699  0.1038   15.97   OK
 closed    unit  pearson    top10%  0.2374  0.1466  1.0000   10.0  2.60    0.00   0.1622  0.4489  0.3259   13.81   OK
 closed    unit  pearson    top25%  0.2147  0.1378  1.0000   25.0  6.45    0.00   0.3798  0.6357  0.6454   20.86   OK
 closed    unit  pearson    top50%  0.1895  0.1348  1.0000   50.0 12.88    0.00   0.7027  0.8601  0.9008   72.18   OK
 closed    unit   cosine  null0.90  0.1623  0.1081  1.0000   12.0  3.05   20.43   0.1762  0.3850  0.3305   21.94   OK
 closed    unit   cosine  null0.95  0.1523  0.0948  1.0000    7.9  2.00   30.92   0.1245  0.3127  0.2349   19.02   OK
 closed    unit   cosine  null0.99  0.1180  0.0667  1.0000    3.6  0.91   52.10   0.0609  0.1884  0.1176   16.96   OK
 closed    unit   cosine    top10%  0.2325  0.1466  1.0000   10.0  2.60    0.00   0.1561  0.4384  0.3259   13.81   OK
 closed    unit   cosine    top25%  0.2051  0.1378  1.0000   25.0  6.45    0.00   0.3635  0.6027  0.6454   18.49   OK
 closed    unit   cosine    top50%  0.1727  0.1348  1.0000   50.0 12.88    0.00   0.6436  0.8013  0.9008   47.27   OK
 closed  shared  pearson  null0.90  0.0654  0.0982  1.0000   11.1  3.06   23.38   0.0916  0.1484  0.3128   19.96   OK
 closed  shared  pearson  null0.95  0.0302  0.0917  1.0000    9.1  2.55   27.44   0.0386  0.0711  0.2691   18.69   OK
 closed  shared  pearson  null0.99  0.0129  0.0794  1.0000    5.5  1.52   37.57   0.0117  0.0247  0.1724   17.74   OK
 closed  shared  pearson    top10%  0.1948  0.1466  1.0000   10.0  2.60    0.00   0.1210  0.2848  0.3259   13.81   OK
 closed  shared  pearson    top25%  0.3230  0.1378  1.0000   25.0  6.45    0.00   0.5992  0.8255  0.6454   17.58   OK
 closed  shared  pearson    top50%  0.2548  0.1348  1.0000   50.0 12.88    0.00   0.9873  0.9998  0.9008   19.93   OK
 closed  shared   cosine  null0.90  0.0647  0.0981  1.0000   11.0  3.05   23.46   0.0899  0.1468  0.3118   18.51   OK
