epoch,train_loss,train_ce,train_mse,train_distill,train_consol,val_loss,val_ce,val_mse,val_distill,val_tot_acc,val_acc,val_f1,val_pre
11,0.665068,0.580622,0.211081,0.062834,0.050421,0.361751,0.273818,0.242432,0.063690,"tensor(0.9703, device='cuda:0')","tensor([1.0000, 0.9429, 0.9545, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:0')","tensor(0.9699, device='cuda:0')","tensor(0.9670, device='cuda:0')"
12,0.635287,0.552639,0.200210,0.062112,0.051469,0.348841,0.263944,0.220311,0.062865,"tensor(0.9703, device='cuda:0')","tensor([1.0000, 0.8857, 0.9659, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9655],
       device='cuda:0')","tensor(0.9712, device='cuda:0')","tensor(0.9710, device='cuda:0')"
13,0.614162,0.533173,0.189296,0.061571,0.048930,0.343781,0.262055,0.206291,0.061097,"tensor(0.9676, device='cuda:0')","tensor([1.0000, 0.9429, 0.9432, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:0')","tensor(0.9674, device='cuda:0')","tensor(0.9635, device='cuda:0')"
14,0.601123,0.521587,0.183370,0.060807,0.039196,0.316733,0.236506,0.199680,0.060259,"tensor(0.9757, device='cuda:0')","tensor([1.0000, 0.9429, 0.9659, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9655],
       device='cuda:0')","tensor(0.9759, device='cuda:0')","tensor(0.9738, device='cuda:0')"
15,0.592770,0.514136,0.177448,0.060537,0.035243,0.296854,0.218054,0.193053,0.059495,"tensor(0.9703, device='cuda:0')","tensor([1.0000, 0.9429, 0.9545, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9310],
       device='cuda:0')","tensor(0.9700, device='cuda:0')","tensor(0.9672, device='cuda:0')"
16,0.586120,0.509569,0.169543,0.059257,0.033961,0.331165,0.253693,0.194703,0.058002,"tensor(0.9730, device='cuda:0')","tensor([1.0000, 0.9429, 0.9432, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.9655],
       device='cuda:0')","tensor(0.9746, device='cuda:0')","tensor(0.9710, device='cuda:0')"
17,0.579341,0.504672,0.163818,0.057987,0.030071,0.290705,0.214524,0.186952,0.057486,"tensor(0.9757, device='cuda:0')","tensor([1.0000, 0.9429, 0.9659, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9655],
       device='cuda:0')","tensor(0.9759, device='cuda:0')","tensor(0.9738, device='cuda:0')"
18,0.575638,0.501396,0.159751,0.058022,0.024453,0.330997,0.254852,0.187676,0.057377,"tensor(0.9486, device='cuda:0')","tensor([1.0000, 0.9429, 0.8636, 0.9545, 1.0000, 1.0000, 0.9750, 0.9800, 0.9655],
       device='cuda:0')","tensor(0.9572, device='cuda:0')","tensor(0.9535, device='cuda:0')"
19,0.571734,0.498632,0.155116,0.057389,0.020129,0.291135,0.217377,0.177983,0.055960,"tensor(0.9676, device='cuda:0')","tensor([1.0000, 0.9429, 0.9318, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9655],
       device='cuda:0')","tensor(0.9703, device='cuda:0')","tensor(0.9669, device='cuda:0')"
20,0.568814,0.497044,0.151027,0.056471,0.019617,0.304555,0.230683,0.179057,0.055967,"tensor(0.9649, device='cuda:0')","tensor([1.0000, 0.9429, 0.9205, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9655],
       device='cuda:0')","tensor(0.9678, device='cuda:0')","tensor(0.9635, device='cuda:0')"
21,0.566447,0.495517,0.145706,0.056167,0.019211,0.296024,0.222385,0.174837,0.056156,"tensor(0.9649, device='cuda:0')","tensor([1.0000, 0.9429, 0.9205, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9655],
       device='cuda:0')","tensor(0.9671, device='cuda:0')","tensor(0.9620, device='cuda:0')"
22,0.565609,0.495031,0.144887,0.055904,0.018551,0.292145,0.218811,0.175072,0.055827,"tensor(0.9649, device='cuda:0')","tensor([1.0000, 0.9429, 0.9205, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9655],
       device='cuda:0')","tensor(0.9678, device='cuda:0')","tensor(0.9635, device='cuda:0')"
