epoch,train_loss,train_ce,train_mse,train_distill,train_consol,val_loss,val_ce,val_mse,val_distill,val_tot_acc,val_acc,val_f1,val_pre
58,0.708568,0.620194,0.246211,0.085911,0.000097,0.481761,0.394459,0.263844,0.084663,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9429, 0.9659, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8621],
       device='cuda:1')","tensor(0.9683, device='cuda:1')","tensor(0.9683, device='cuda:1')"
59,0.703859,0.615392,0.245847,0.086008,0.000096,0.472903,0.385668,0.263152,0.084603,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9429, 0.9545, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9701, device='cuda:1')","tensor(0.9688, device='cuda:1')"
60,0.698477,0.610173,0.244813,0.085855,0.000097,0.468043,0.380576,0.262566,0.084841,"tensor(0.9676, device='cuda:1')","tensor([1.0000, 0.9429, 0.9545, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8621],
       device='cuda:1')","tensor(0.9661, device='cuda:1')","tensor(0.9652, device='cuda:1')"
61,0.693744,0.605582,0.244455,0.085716,0.000096,0.459612,0.372587,0.262276,0.084402,"tensor(0.9730, device='cuda:1')","tensor([1.0000, 0.9429, 0.9659, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9723, device='cuda:1')","tensor(0.9719, device='cuda:1')"
62,0.688800,0.600952,0.241789,0.085429,0.000096,0.454486,0.367365,0.259498,0.084526,"tensor(0.9730, device='cuda:1')","tensor([1.0000, 0.9429, 0.9659, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9723, device='cuda:1')","tensor(0.9719, device='cuda:1')"
63,0.684290,0.596634,0.240660,0.085249,0.000097,0.448468,0.361360,0.259434,0.084513,"tensor(0.9730, device='cuda:1')","tensor([1.0000, 0.9429, 0.9659, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9723, device='cuda:1')","tensor(0.9719, device='cuda:1')"
64,0.680050,0.592536,0.238505,0.085128,0.000095,0.445900,0.358683,0.257678,0.084640,"tensor(0.9730, device='cuda:1')","tensor([1.0000, 0.9429, 0.9659, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9723, device='cuda:1')","tensor(0.9719, device='cuda:1')"
65,0.676059,0.588645,0.236912,0.085044,0.000096,0.436694,0.350008,0.257588,0.084110,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9429, 0.9545, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9701, device='cuda:1')","tensor(0.9688, device='cuda:1')"
66,0.672210,0.585006,0.236327,0.084840,0.000096,0.433952,0.347262,0.257773,0.084112,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9429, 0.9545, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9701, device='cuda:1')","tensor(0.9688, device='cuda:1')"
67,0.668186,0.581261,0.235255,0.084571,0.000095,0.429763,0.342719,0.256768,0.084475,"tensor(0.9730, device='cuda:1')","tensor([1.0000, 0.9429, 0.9659, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9723, device='cuda:1')","tensor(0.9719, device='cuda:1')"
68,0.664530,0.577726,0.235830,0.084445,0.000094,0.423203,0.336540,0.255622,0.084107,"tensor(0.9730, device='cuda:1')","tensor([1.0000, 0.9429, 0.9659, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9723, device='cuda:1')","tensor(0.9719, device='cuda:1')"
69,0.661115,0.574421,0.232688,0.084366,0.000094,0.418495,0.331709,0.257395,0.084213,"tensor(0.9730, device='cuda:1')","tensor([1.0000, 0.9429, 0.9659, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9723, device='cuda:1')","tensor(0.9719, device='cuda:1')"
70,0.657679,0.571169,0.232257,0.084186,0.000094,0.420517,0.333254,0.256982,0.084693,"tensor(0.9730, device='cuda:1')","tensor([1.0000, 0.9429, 0.9659, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9723, device='cuda:1')","tensor(0.9719, device='cuda:1')"
71,0.654930,0.568279,0.230291,0.084347,0.000093,0.409698,0.323136,0.255142,0.084011,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9429, 0.9545, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9701, device='cuda:1')","tensor(0.9688, device='cuda:1')"
72,0.651547,0.565381,0.230039,0.083864,0.000093,0.406614,0.319994,0.255570,0.084064,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9429, 0.9545, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9701, device='cuda:1')","tensor(0.9688, device='cuda:1')"
73,0.648519,0.562512,0.229668,0.083709,0.000093,0.406028,0.319035,0.255410,0.084439,"tensor(0.9730, device='cuda:1')","tensor([1.0000, 0.9429, 0.9659, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9723, device='cuda:1')","tensor(0.9719, device='cuda:1')"
74,0.645617,0.559743,0.228844,0.083584,0.000094,0.400696,0.314063,0.256314,0.084070,"tensor(0.9730, device='cuda:1')","tensor([1.0000, 0.9429, 0.9659, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9723, device='cuda:1')","tensor(0.9719, device='cuda:1')"
75,0.643058,0.557242,0.229778,0.083518,0.000094,0.400021,0.313363,0.254155,0.084116,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9429, 0.9545, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9701, device='cuda:1')","tensor(0.9688, device='cuda:1')"
76,0.640676,0.554874,0.227871,0.083522,0.000094,0.391513,0.304826,0.253468,0.084153,"tensor(0.9703, device='cuda:1')","tensor([1.0000, 0.9429, 0.9545, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9706, device='cuda:1')","tensor(0.9701, device='cuda:1')"
77,0.637926,0.552411,0.226857,0.083245,0.000093,0.392639,0.305786,0.253857,0.084315,"tensor(0.9676, device='cuda:1')","tensor([1.0000, 0.9429, 0.9432, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9676, device='cuda:1')","tensor(0.9650, device='cuda:1')"
78,0.635751,0.550191,0.227825,0.083281,0.000094,0.387123,0.300591,0.254100,0.083992,"tensor(0.9730, device='cuda:1')","tensor([1.0000, 0.9429, 0.9659, 0.9773, 1.0000, 1.0000, 1.0000, 0.9800, 0.8966],
       device='cuda:1')","tensor(0.9723, device='cuda:1')","tensor(0.9719, device='cuda:1')"
