run_id,architecture,horizon,data,seed,heterogeneous,variant,policy,mse,mae,best_epoch,epochs,best_val_mse,parameters,seconds,log_path,support_density,empty_read_fraction,mean_real_mass,mean_gate_after_first_patch,mean_lag_in_patches,evidence_to_charge_abs_ratio,off_minus_full_mse,uniform_minus_full_mse,recent_minus_full_mse
tcn_ETTh2_p720_flatten_heterogeneous_sparse_seed13,tcn,720,ETTh2,13,True,heterogeneous_sparse,sparse,0.9891224515721935,0.6945585025741612,0,7,0.6797194010637214,997588,2919.9090259075165,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v2/forecasting/log/selective-v2-20260914_tcn_p720/ETTh2/260915/260915+model+myModel+architecture+tcn+seq_len+336+pred_len+720+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed13_flatten_heterogeneous_sparse,0.3274010419845581,0.153037890791893,0.7717762589454651,0.394119530916214,6.264481340996954,0.00781607162207365,-0.02398996303094758,0.0005706863617651603,0.005417937735404665
tcn_ETTh2_p720_flatten_heterogeneous_sparse_seed21,tcn,720,ETTh2,21,True,heterogeneous_sparse,sparse,1.1279605184173613,0.747276461484658,0,7,0.6903418979747641,997588,2238.3140799999237,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v2/forecasting/log/selective-v2-20260914_tcn_p720/ETTh2/260915/260915+model+myModel+architecture+tcn+seq_len+336+pred_len+720+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed21_flatten_heterogeneous_sparse,0.3645535111427307,0.05249619111418724,0.8967989087104797,0.448016881942749,6.198851057207376,0.01570766232907772,-0.029816983415164255,-0.0006165305639989072,-0.0036157773209013477
tcn_ETTh2_p720_flatten_homogeneous_dense_seed7,tcn,720,ETTh2,7,False,homogeneous_dense,dense,1.3001514274178547,0.7805585691194258,4,11,0.7219835830297001,997588,4355.695486307144,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v2/forecasting/log/selective-v2-20260914_tcn_p720/ETTh2/260915/260915+model+myModel+architecture+tcn+seq_len+336+pred_len+720+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed7_flatten_homogeneous_dense,0.985909104347229,0.00013610627502202988,0.8089427351951599,0.41578537225723267,8.797435010765254,0.010278807021677494,0.04243062275826559,0.015228138283220671,-0.006294092026753573
tcn_ETTh2_p720_flatten_homogeneous_dense_seed13,tcn,720,ETTh2,13,False,homogeneous_dense,dense,0.9468438171327785,0.6775381140129604,0,7,0.671513832323508,997588,2981.8051879405975,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v2/forecasting/log/selective-v2-20260914_tcn_p720/ETTh2/260915/260915+model+myModel+architecture+tcn+seq_len+336+pred_len+720+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed13_flatten_homogeneous_dense,0.9917837381362915,0.0,0.7667561769485474,0.39315640926361084,8.596420344067155,0.009426010772585869,-0.010128366752548246,-0.0010368804524062414,0.0013803131719181128
tcn_ETTh2_p720_flatten_homogeneous_dense_seed21,tcn,720,ETTh2,21,False,homogeneous_dense,dense,1.0714890284477694,0.7254667317077181,0,7,0.6810177653131334,997588,2883.530914068222,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v2/forecasting/log/selective-v2-20260914_tcn_p720/ETTh2/260915/260915+model+myModel+architecture+tcn+seq_len+336+pred_len+720+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed21_flatten_homogeneous_dense,0.9983751773834229,0.0,0.9015758037567139,0.45641762018203735,9.462066372594563,0.017251694574952126,-0.06448014823272707,-0.01624379903456319,-0.004206178233988611
tcn_ETTh2_p720_flatten_homogeneous_no_memory_seed7,tcn,720,ETTh2,7,False,homogeneous_no_memory,off,1.2780886682296162,0.7724208288472877,4,11,0.6986043076719587,997588,4087.3603098392487,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v2/forecasting/log/selective-v2-20260914_tcn_p720/ETTh2/260915/260915+model+myModel+architecture+tcn+seq_len+336+pred_len+720+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed7_flatten_homogeneous_no_memory,0.0,1.0,0.0,0.0,0.0,0.0,,,
tcn_ETTh2_p720_flatten_homogeneous_no_memory_seed13,tcn,720,ETTh2,13,False,homogeneous_no_memory,off,1.0084148579875094,0.7040767271878031,0,7,0.6877994949009227,997588,2693.2135803699493,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v2/forecasting/log/selective-v2-20260914_tcn_p720/ETTh2/260915/260915+model+myModel+architecture+tcn+seq_len+336+pred_len+720+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed13_flatten_homogeneous_no_memory,0.0,1.0,0.0,0.0,0.0,0.0,,,
tcn_ETTh2_p720_flatten_homogeneous_no_memory_seed21,tcn,720,ETTh2,21,False,homogeneous_no_memory,off,1.0145202040550318,0.6937867286670357,2,9,0.6810721026815635,997588,3341.5537054538727,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v2/forecasting/log/selective-v2-20260914_tcn_p720/ETTh2/260915/260915+model+myModel+architecture+tcn+seq_len+336+pred_len+720+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed21_flatten_homogeneous_no_memory,0.0,1.0,0.0,0.0,0.0,0.0,,,
tcn_ETTh2_p720_flatten_homogeneous_sparse_seed7,tcn,720,ETTh2,7,False,homogeneous_sparse,sparse,1.0563064662348147,0.7073005952022429,3,10,0.7099755096975956,997588,4081.8761472702026,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v2/forecasting/log/selective-v2-20260914_tcn_p720/ETTh2/260915/260915+model+myModel+architecture+tcn+seq_len+336+pred_len+720+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed7_flatten_homogeneous_sparse,0.31430956721305847,0.14624619483947754,0.7819338440895081,0.4030075967311859,8.230427362764905,0.010506936348974705,0.03069474393917382,0.012066726175805176,0.0017028545548334328
tcn_ETTh2_p720_flatten_homogeneous_sparse_seed13,tcn,720,ETTh2,13,False,homogeneous_sparse,sparse,1.0216312311685325,0.7089014610286618,0,7,0.6848623920959026,997588,2952.313526391983,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v2/forecasting/log/selective-v2-20260914_tcn_p720/ETTh2/260915/260915+model+myModel+architecture+tcn+seq_len+336+pred_len+720+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed13_flatten_homogeneous_sparse,0.3603731095790863,0.1713850200176239,0.7682535648345947,0.3980236053466797,7.733243250264405,0.010238338261842728,-0.030687311642303428,-0.015828493444145275,-0.009060946735875985
